Name	Constellation	Class	Element	Rarity	S1Name	S1Description	S1Cooldown	S1Enhancement	S1Type	S1SoulBurn	S1SoulsRequired	S2Name	S2Description	S2Cooldown	S2Enhancement	S2Type	S2SoulBurn	S2SoulsRequired	S3Name	S3Description	S3Cooldown	S3Enhancement	S3Type	S3SoulBurn	S3SoulsRequired	Attack	Health	Defence	Speed	CritChance	CritDamage	DualAttackChance	Effectiveness	EffectResistance
Aria	Taurus	Mage	Ice	5	Shadow-Call	"Attacks two enemies with shadows, with a 40% chance to decrease Hit Chance for 1 turn. When it is not the caster's turn, increases the effect chance by 20%. Damage dealt increases proportional to the caster's Defense."	0	+5% damage dealt+5% damage dealt+5% effect chance+5% damage dealt+5% effect chance+5% damage dealt+10% damage dealt	Active	Grants an extra turn. (-20 Souls)	2	Guide-of-Darkness	"Increases Critical Hit Chance by 20%. After using a skill, when Focus is full, consumes all Focus to activate Dark Shadow Phantom. Dark Shadow Phantom: Attacks all enemies, dispelling two buffs and decreasing Combat Readiness by 30%. Damage dealt increases proportional to the caster's Defense."	0	+1% Combat Readiness+1% Combat Readiness+1% Combat Readiness+1% Combat Readiness+2% Combat Readiness+2% Combat Readiness+2% Combat Readiness	Passive		0	The-Umbral-Hour	"Using the power of the shadows, increases Defense of the caster and adopts a counterattacking stance for 2 turns. Grant stealth and a barrier to all allies except for the caster for 2 turns. Barrier strength increases proportional to the caster's Defense."	5	-1 turn cooldown	Active		0	1039	5299	673	115	15	150	5	18	18
Cerise	Aquarius	Ranger	Ice	5	Mystical-Arrow	"Summons a mystical bow to attack the enemy, before increasing the caster's Combat Readiness by 10%. Triggers a Dual Attack from a random ally when Frost Storm is on cooldown."	0	+5% damage dealt+2% Combat Readiness+10% damage dealt+3% Combat Readiness+15% damage dealt	Active		0	Luminous-Explosion	"Explodes a magical sphere, stunning for 1 turn and making them unable to be buffed for 2 turns. Increases Combat Readiness of the caster by 50%."	4	+5% damage dealt+5% damage dealt-1 turn cooldown+10% damage dealt+10% damage dealt	Active	Ignores Effect Resistance	2	Frost-Storm	"Attacks all enemies with a raging frost storm, decrease buff durations by 1 turn, with a 75% chance each to decrease Speed and restrict for 2 turns. Grants the caster invincibility for 1 turn.. Attacks using an advantageous element."	5	+5% damage dealt+10% effect chance-1 turn cooldown+15% effect chance+15% damage dealt	Active		0	970	5299	603	122	27	150	5	0	0
Choux	Capricorn	Warrior	Ice	5	Chop	Attacks the enemy with a spear before increasing the caster's Combat Readiness by 15%. A critical hit will double the amount of Focus gained. Damage dealt increases proportional to the caster's max health.	0	+5% damage dealt+2% Combat Readiness+5% damage dealt+3% Combat Readiness+5% damage dealt+15% damage dealt	Active	Grants an extra turn. (-20 Souls)	2	Fwoooosh!	"Attacks the enemy by wildly swinging the spear and absorbs some of the damage dealt as Health. Penetrates the enemy's Defense by 70%. When the caster's stacked Focus is 5, consumes all Focus, increasing damage dealt and resetting the cooldown of Fwooosh! Damage dealt increases proportional to the caster's max health."	3	+5% damage dealt+10% damage dealt+15% damage dealt	Active		0	"Help-Me,-Cream!"	"Freezes all enemies before attacking with Cream. Increases Critical Hit Resistance of all allies for 2 turns and grants the caster immunity for 2 turns. Damage dealt increases proportional to the caster's max Health. When this skill is unavailable due to cooldown reset, after an ally is attacked, has a 20% chance to counterattack."	5	+5% damage dealt+5% damage dealt-1 turn cooldown+5% damage dealt+5% damage dealt+10% damage dealt	Active		0	966	7323	657	102	15	150	5	0	0
Diene	Gemini	Soul Weaver	Ice	5	Light-of-Judgement	"Emits a ray of brilliant light, increasing the caster's Combat Readiness by 10%. Effect doubles when caster is buffed."	0	+5% damage dealt+2% Combat Readiness+5% damage dealt+5% damage dealt+3% Combat Readiness+10% damage dealt+10% damage dealt	Active		0	Blessings-of-the-Goddess	"With the Blessing of the Goddess, dispels two debuffs from all allies and grants a barrier for 2 turns. Barrier strength increases proportional to the target's max Health."	4	+5% barrier strength+5% barrier strength-1 turn cooldown+10% barrier strength+15% barrier strength+15% barrier strength	Active		0	Saint's-Prayer	"A miracle of the Goddess manifests, increasing Attack and Critical Hit Resistance of all allies for 3 turns, before increasing the caster's Combat Readiness by 50%."	5	Acquire +1 Soul-1 turn cooldown	Active	Skill cooldown is decreased by 2 turns. (-10 Souls)	1	649	5254	694	105	15	150	5	0	30
Dizzy	Taurus	Mage	Ice	5	I-Used-This-to-Catch-Fish	"Attacks all enemies with the power of magic, with a 25% chance to stun for 1 turn. Deals increased damage to debuffed enemies."	0	+5% damage dealt+5% damage dealt+5% damage dealt+5% damage dealt+10% damage dealt	Active		0	Gamma-Ray	"Attacks all enemies with a powerful ray, extending the duration of debuffs by 1 turn, except for those which prevent the enemy for moving, before decreasing Combat Readiness by 50%."	4	+5% damage dealt+5% damage dealt-1 turn cooldown+10% damage dealt+10% damage dealt	Active		0	Emotional-Gamma-Ray	"Unleashes a giant explosion to attack all enemies. The attack misses, but inflicts decreased Speed, Attack and Decrease Hit Chance for 2 turns regardless."	5	+5% damage dealt+5% damage dealt-1 turn cooldown+10% damage dealt+10% damage dealt	Active	Grants an extra turn. (-20 Souls)	2	1039	5299	673	115	15	150	5	18	18
Eda	Taurus	Mage	Ice	5	Icy-Impact	"Attacks the enemy with shards of ice, with a 65% chance to decrease Defense for 1 turn."	0	+5% damage dealt+5% damage dealt+10% effect chance+10% damage dealt+10% damage dealt	Active		0	Cold-Snap	"Attacks all enemies with an explosion of ice, dispelling two buffs before decreasing Combat Readiness by a random amount between 15% and 40%. Grants the caster skill nullifier once."	4	+5% damage dealt+5% damage dealt-1 turn cooldown+10% damage dealt+10% damage dealt	Active	Grants an extra turn. (-20 Souls)	2	Absolute-Zero	Absolute-Zero	5	+5% damage dealt+10% effect chance-1 turn cooldown+15% effect chance+15% damage dealt	Active		0									
Elena	Gemini	Soul Weaver	Ice	5	Starlight's-Will	"Attacks with the power of the stars, dispelling one debuff each from two allies."	0	+5% damage dealt+5% damage dealt+10% damage dealt+10% damage dealt	Active	Dispels all debufss from all allies. (-20 Souls)	2	Guardian's-Authority	"Decreases the damage received from attacks that target all enemies by 15% and activates Consecrated Ground. When this effect is granted more than once, only the strongest effect is applied. Consecrated Ground can be activated once every 2 turns. Consecrated Ground: Recovers the Health of all allies before increasing Combat Readiness of the caster by 20%. Amount recovered increases proportional to the caster's max Health."	0	-0.5% damage received-0.5% damage received-0.5% damage received-0.5% damage received-0.5% damage received-0.5% damage received-2% damage received	Passive		0	Eternally-Shining-Comet	"Attacks all enemies with a meteor shower, granting invincibility for 1 turn and increased Effect Resistance for 2 turns to all allies."	6	+5% damage dealt-1 turn cooldown+10% damage dealt+15% damage dealt	Active		0									
Emilia	Gemini	Soul Weaver	Ice	5	Huma	"Attacks the enemy with ice, before recovering Health of the ally with the lowest Health. Amount recovered increases proportional to the caster's max Health."	0	+5% damage dealt+10% healing+5% damage dealt+5% damage dealt+15% healing+10% damage dealt+10% damage dealt	Active		0	Spirit's-Blessing	"Grants a blessing to an ally except for the caster, dispelling two debuffs and increasing Attack for 2 turns before increasing Combat Readiness by 40%. Increases Combat Readiness of the caster by 25%."	3	+1% Combat Readiness+1% Combat Readiness+1% Combat Readiness-1 turn cooldown+2% Target's Combat Readiness+2% Target's Combat Readiness+3% Combat Readiness	Active	Recovers Health of the target. Amount recovered increases proportional to the caster's max Health. (-10 Souls)	1	Divine-Protection-of-the-Great-Spirit	"Uses spiritual arts to dispel two debuffs from all allies, before recovering Health and granting a barrier for 2 turns. Amount recovered and barrier strength increase proportional to the caster's max Health."	5	-1 turn cooldown	Active		0									
Fairytale-Tenebria	Taurus	Mage	Ice	5	One-Pair	"Attacks the enemy with a mystical power, with a 30% chance each to inflict two poison effects for 1 turn."	0	+5% damage dealt+5% effect chance+10% damage dealt+10% damage dealt+10% effect chance+15% damage dealt	Active	Grants an extra turn. (-20 Souls)	2	Wild-Card	Activates Shuffle when an ally is attacked by an enemy inflicted with provoke or redirected provoke. Can only be activated once per turn. Shuffle: Attacks all enemies and inflicts a random debuff for 1 turn. A successful attack inflicts additional damage when the target is inflicted with provoke or redirected provoke. Additional damage increases proportional to the target's max Health.	0	+5% damage dealt+5% damage dealt+5% damage dealt+5% damage dealt+10% damage dealt	Passive		0	Tea-Party	"Lures all enemies in with a tea party and attacks, dispelling one buff, making them unable to be buffed for 2 turns and inflicting redirected provoke for 1 turn."	5	+5% damage dealt+5% damage dealt-1 turn cooldown+10% damage dealt+10% damage dealt	Active		0									
Flan	Capricorn	Ranger	Ice	5	Communication-Breakdown	"Attacks the enemy with a gun, with a 50% chance to dispel one buff."	0	+5% damage dealt+5% effect chance+5% damage dealt+10% effect chance+10% damage dealt+10% effect chance+10% damage dealt	Active		0	Data-Monopoly	"Encourages an ally, increasing Attack and Critical Hit Damage for 2 turns and increasing Combat Readiness by 30%."	3	+1% Combat Readiness+1% Combat Readiness+1% Combat Readiness+1% Combat Readiness+2% Target's Combat Readiness+2% Target's Combat Readiness+2% Target's Combat Readiness	Active		0	Advantageous-Deal	"Drives a hard bargain against all enemies, making them unhealable and decreasing Defense for 2 turns before decreasing Combat Readiness by 15%."	6	Skill cooldown is decreased by 2 turns. (-10 Souls)	Active	Grants an extra turn. (-20 Souls)	2									
